	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AD,FR																																										1
AE					4		13				6		15		28	8	2		2		13	3	4	7	3	21	2		11	66	17	2	19	4	16	3	74	4	120	225	56	248
AE,AT,EG																										5	2															
AE,AT,FR																														11					15							
AE,AU,BD																																						1				
AE,AU,CN,FI,FR,GB,IT,US																																			12							
AE,AU,IT																																					8					
AE,AU,KR																																						1				
AE,BD,IN,MA,SA																																										
AE,BE,IN,SA																																			1							
AE,CA																				4	1		25	2				9		2								4				
AE,CA,EG																							7																			
AE,CA,EG,KR,PK																																										
AE,CA,EG,PK																																							41		17	
AE,CA,FR																																	14									
AE,CA,IR																																						4				
AE,CA,JO																																3										
AE,CA,KR,PK																																								6		
AE,CA,PK																																										
AE,CA,PK,SA																																										2
AE,CA,SA																																							10	7		
AE,CH,DE,GR,KR																																										
AE,CM,ES,FR,US																																									9	
AE,CN																																		2				1	4			
AE,CN,DE,FR																																		12								
AE,CN,EG,PK																																										1
AE,CN,GB																																1							2			
AE,CN,HK																																					2					
AE,CN,IN,MY,SA																																										14
AE,CN,IT																					2																					
AE,CN,JO,PK,RU,SA																																									1	
AE,CN,JP																																									4	
AE,CN,PK																																										19
AE,CN,PK,TR																																								13		
AE,CN,US																																									14	2
AE,CZ																																			1							
AE,CZ,SE																																			2							
AE,DE							2	1								2		1												18			42	14	1	17	28					
AE,DE,DK,PT																																		10								
AE,DE,FR																																	2			4						
AE,DE,GB,SE																																							6			
AE,DE,IN																																									3	
AE,DE,IN,JO																																		19								
AE,DE,IQ				3																																						
AE,DE,IT																																									10	
AE,DE,JO																							14				12	3	21	31	4						18					
AE,DE,JO,PS																										6																
AE,DE,JO,US																													15													
AE,DE,PL																																						24				2
AE,DE,SG																																		6								
AE,DE,US																																								33		
AE,DK,FR																																	3									
AE,EG							36					1	3	20		4	29		8	16	12			24	20	19		15				36	16			9	15	84	52	53	44	111
AE,EG,FR,SA																																										
AE,EG,GB														17																										36	13	
AE,EG,GB,RU,SA																																									1	
AE,EG,GB,SA																																										
AE,EG,JP,SA																																									5	
AE,EG,KR																																							21		69	
AE,EG,KR,SA																																										12
AE,EG,MA,SA																																										
AE,EG,PK																																							22			
AE,EG,SA																																						41	36	16	11	19
AE,EG,US																																									15	9
AE,ES																																2					4					
AE,ES,FR,US																																	1	10				18	1			
AE,ES,GB																																	11									
AE,ES,IE,US																																				9						
AE,ES,IN,JP																													14													
AE,ES,JO,SA																																								1		
AE,ES,PT																																					1					
AE,ES,QA,US																																				4						
AE,ES,US																																									1	
AE,FR										20																					12	23										
AE,FR,GB																															12											
AE,FR,GB,IT																																					6					
AE,FR,GB,RS,TT																																							1			
AE,FR,KR,US																																									6	
AE,FR,LB,US																																					4					
AE,FR,QA,SA,US																																						3				
AE,FR,US																																			1							
AE,GB																			2			3							1	3					9	13		3	6	25		
AE,GB,GR,US																																								15		
AE,GB,IE																										2																
AE,GB,IN,JP																																			10							
AE,GB,IN,JP,SG																																				15						
AE,GB,IN,SG																																			20							
AE,GB,IN,US																																								21		
AE,GB,IT																																			6							
AE,GB,JO,US																															17											
AE,GB,KR,PK																																										1
AE,GB,LB																																										1
AE,GB,MR,TN																																								16		
AE,GB,MY																																									10	
AE,GB,PK																																										2
AE,GB,PK,SA																																										
AE,GB,RS,US																																		3								
AE,GB,US																																								3		
AE,HK																																					50					2
AE,HR																																					4					
AE,HU																																				11						
AE,HU,IQ,MU,QA,TR																																										11
AE,ID,SG																																								38		
AE,IE																															2											
